,XX,LP,M,
sqrt I<ii/i>x,pw_v2,xx1 xx2,xx1 xx2,
sqrt I<ii>y/H,pw_v2,xx1 xx2,xx1 xx2,
<ii/h>x,pw_v2 and,xx1 xx2,True,
I<ii/i>y/H,True,pw_v3 pw_v2,True,
<ii/i>x,pw_v2 and,True,True,
<ii/h>y,pw_v2 and,xx1 xx2,True,
II/H,pw_v3 pw_v2 and,xx1 xx2,True,
I<ii/i>x/H,True,pw_v3 pw_v2,True,
<ii/i>y,pw_v2 and,True,True,
sqrt(III/I),pw_v3 pw_v2,xx1 xx2,xx1 xx2,
logH II/I,True,pw_v3 pw_v2,True,
II/I,pw_v3 pw_v2 and,True,True,
sqrt I<ii/i>y,pw_v2,xx1 xx2,xx1 xx2,
sqrt I<ii>x/H,pw_v2,xx1 xx2,xx1 xx2,
III/HI,True,pw_v3 pw_v2,True,
